date,Filename,frequency,amount,vgender,vhonor,emo_sim,bvtextsim,bvemosim,livetype,timeslot,bgender,numberviewers,numberlikes,wordcount,danmu_num
0907_11-14,0907_07_00,4,4,0.955414013,11.02884615,0.302735489,0.514146209,0.6133721,0,0,1,344,130,759,76
0907_11-14,0907_07_01,6,6,0.900621118,10.79111111,0.408305318,0.37614876,0.6565339,0,0,1,312.6666667,168,715,57
0907_11-14,0907_07_02,3,3,0.865470852,9.915422886,0.507290277,0.345878899,0.7875243,0,0,1,289.3333333,153,797,72
0907_11-14,0907_07_03,11,20,0.98,9.269430052,0.45721391,0.50520134,0.4987016,0,0,1,271.6666667,125,765,55
0907_11-14,0907_07_04,13,176,0.923076923,10.64759036,0.390174947,0.520981908,0.8031627,0,0,1,278.6666667,223,781,107
0907_11-14,0907_07_05,13,45,0.879310345,9.75,0.403468207,0.46161443,0.8915808,0,0,1,264.6666667,226,830,104
0907_11-14,0907_07_06,11,23,0.968652038,11.79883382,0.464902601,0.360909402,0.74969184,0,0,1,200.3333333,248,781,88
0907_11-14,0907_07_08,6,6,0.837735849,12.71365639,0.401617385,0.418907821,0.56739063,0,0,1,194.6666667,199,697,64
0907_11-14,0907_07_09,5,23,0.906666667,10.29655172,0.446938881,0.375737965,0.5323808,0,0,1,206,97,742,53
0907_11-14,0907_07_10,3,3,0.902777778,9.185053381,0.556468997,0.286759168,0.5931825,0,0,1,204.6666667,225,870,54
0907_11-14,0907_07_11,4,4,0.948717949,9.383084577,0.413867009,0.410634458,0.6670312,0,0,1,180.3333333,131,827,65
0907_11-14,0907_07_12,5,5,0.929347826,7.949152542,0.55464728,0.441677988,0.55089235,0,0,1,178.3333333,91,822,89
0907_11-14,0907_07_13,18,34,0.840425532,10.45296167,0.416808022,0.373836875,0.75703834,0,0,1,168,212,855,63
0907_11-14,0907_07_14,7,7,0.830188679,11.48717949,0.42194995,0.410042167,0.82312574,0,0,1,160.3333333,216,809,55
0907_11-14,0907_07_15,6,6,0.970873786,10.4589372,0.40556244,0.522130013,0.62415713,0,0,1,149.6666667,153,880,53
0907_11-14,0907_07_16,14,14,0.9921875,9.208955224,0.387384971,0.348045588,0.46736166,0,0,1,156,184,791,70
0907_11-14,0907_07_17,7,9,0.903361345,11.90819672,0.520474687,0.44255963,0.8027313,0,0,1,149.6666667,270,847,50
0907_11-14,0907_07_18,2,2,0.949367089,6.421568627,0.476730006,0.202461421,0.6100832,0,0,1,151.3333333,74,798,31
0907_11-14,0907_07_19,6,6,0.974264706,10.63945578,0.463039443,0.401019454,0.7491233,0,0,1,150.3333333,182,790,109
0907_11-14,0907_07_20,4,4,0.87434555,9.070351759,0.523623613,0.451963991,0.52732867,0,0,1,149.6666667,96,855,100
0907_11-14,0907_07_21,3,3,0.959064327,6.848837209,0.501958437,0.44949773,0.43623286,0,0,1,137,132,851,43
0907_11-14,0907_07_22,2,2,0.95035461,7.133802817,0.683452826,0.536601543,0.7522463,0,0,1,140.6666667,96,650,62
0907_11-14,0907_07_23,10,12,0.932330827,7.371212121,0.456956561,0.531570017,0.890859,0,0,1,131.6666667,70,736,70
0907_11-14,0907_09_03,360,2749,0.819664032,11.68735418,0.63048766,0.59837383,0.8538557,0,0,1,4823.666667,384,952,1407
0907_11-14,0907_09_04,1012,4225,0.834064327,11.45916955,0.748903592,0.69785524,0.75817993,0,0,1,4919.666667,413,968,1425
0907_11-14,0907_09_05,985,9359,0.822794692,12.0033137,0.644082967,0.624699783,0.9496875,0,0,1,4854.666667,394,941,1391
0907_11-14,0907_09_06,574,5814,0.826454034,12.62875056,0.687253344,0.625838411,0.7426853,0,0,1,4709.333333,277,1007,1410
0907_11-14,0907_09_07,340,3720,0.823253389,11.21177635,0.768218787,0.675061792,0.8827645,0,0,1,4580.333333,357,938,1397
0907_11-14,0907_09_08,338,2503,0.836507937,11.9015,0.723095153,0.698203623,0.9499712,0,0,1,4372,288,929,1397
0907_11-14,0907_09_09,385,4334,0.853560682,12.47337851,0.680598711,0.68454951,0.9185553,0,0,1,4277.333333,300,933,1424
